SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
542025,Sun Retail Ltd,Active,M,1.00,INE206Z01020,,SUNRETAIL,Equity,https://www.bseindia.com/stock-share-price/sun-retail-ltd/sunretail/542025/,Sun Retail Limited,4.97
542034,S. M. Gold Ltd,Active,B,10.00,INE00Q901014,,SMGOLD,Equity,https://www.bseindia.com/stock-share-price/s-m-gold-ltd/smgold/542034/,S. M. Gold Limited,16.41
542046,Vivid Mercantile Ltd,Active,B,1.00,INE647Z01025,,VIVIDM,Equity,https://www.bseindia.com/stock-share-price/vivid-mercantile-ltd/vividm/542046/,VIVID MERCANTILE LIMITED,69.98
542057,BCPL Railway Infrastructure Ltd,Active,B,10.00,INE00SW01015,,BCPL,Equity,https://www.bseindia.com/stock-share-price/bcpl-railway-infrastructure-ltd/bcpl/542057/,BCPL Railway Infrastructure Limited,125.41
542066,Adani Total Gas Ltd,Active,A,1.00,INE399L01023,,ATGL,Equity,https://www.bseindia.com/stock-share-price/adani-total-gas-ltd/atgl/542066/,ADANI TOTAL GAS LIMITED,80126.66
542123,The Phosphate Company Ltd,Active,X,10.00,INE398C01016,,PHOSPHATE,Equity,https://www.bseindia.com/stock-share-price/the-phosphate-company-ltd/phosphate/542123/,The Phosphate Company Limited,51.80
542131,MIRAE ASSET NIFTY 50 ETF (MAN50ETF),Active,B,100.00,INF769K01EG9,,NIFTYETF,Equity,https://www.bseindia.com/stock-share-price/mirae-asset-nifty-50-etf-(man50etf)/niftyetf/542131/,Mirae Asset Mutual Fund,
542141,Techno Electric & Engineering Company Ltd,Active,A,2.00,INE285K01026,,TECHNOE,Equity,https://www.bseindia.com/stock-share-price/techno-electric--engineering-company-ltd/technoe/542141/,Techno Electric & Engineering Company Limited,12566.75
542145,Roni Households Ltd,Active,M,10.00,INE02AP01013,,RONI,Equity,https://www.bseindia.com/stock-share-price/roni-households-ltd/roni/542145/,Roni Households Limited,45.97
542146,Shree Krishna Infrastructure Ltd,Active,MT,10.00,INE951Z01013,,SKIFL,Equity,https://www.bseindia.com/stock-share-price/shree-krishna-infrastructure-ltd/skifl/542146/,Shree Krishna Infrastructure Limited,11.43
542155,Diksha Greens Ltd,Active,MT,10.00,INE01GR01018,,DGL,Equity,https://www.bseindia.com/stock-share-price/diksha-greens-ltd/dgl/542155/,Diksha Greens Limited,1.09
542176,Aryan Share and Stock Brokers Ltd,Active,X,10.00,INE016X01010,,ARYAN,Equity,https://www.bseindia.com/stock-share-price/aryan-share-and-stock-brokers-ltd/aryan/542176/,Aryan Share & Stock Brokers Ltd.,6.30
542206,Nivaka Fashions Ltd,Active,X,1.00,INE139E01028,,NIVAKA,Equity,https://www.bseindia.com/stock-share-price/nivaka-fashions-ltd/nivaka/542206/,NIVAKA FASHIONS LIMITED,9.65
542216,Dalmia Bharat Ltd,Active,A,2.00,INE00R701025,,DALBHARAT,Equity,https://www.bseindia.com/stock-share-price/dalmia-bharat-ltd/dalbharat/542216/,DALMIA BHARAT LIMITED,32263.22
542230,Aditya Birla Sun Life Nifty Next 50 ETF,Active,B,1.00,INF209KB16D7,,ABSLNN50ET,Equity,https://www.bseindia.com/stock-share-price/aditya-birla-sun-life-nifty-next-50-etf/abslnn50et/542230/,Aditya Birla Sun Life Mutual Fund,
542231,Nila Spaces Ltd,Active,B,1.00,INE00S901012,,NILASPACES,Equity,https://www.bseindia.com/stock-share-price/nila-spaces-ltd/nilaspaces/542231/,Nila Spaces Ltd,511.27
542232,Shankar Lal Rampal Dye-Chem Ltd,Active,B,10.00,INE01NE01012,,SRD,Equity,https://www.bseindia.com/stock-share-price/shankar-lal-rampal-dye-chem-ltd/srd/542232/,Shankar Lal Rampal Dye-Chem Limited,264.12
542233,Trejhara Solutions Ltd,Active,B,10.00,INE00CA01015,,TREJHARA,Equity,https://www.bseindia.com/stock-share-price/trejhara-solutions-ltd/trejhara/542233/,Trejhara Solutions Limited,339.44
542248,Deccan Health Care Ltd,Active,T,10.00,INE452W01019,,DECCAN,Equity,https://www.bseindia.com/stock-share-price/deccan-health-care-ltd/deccan/542248/,Deccan Health Care Limited,30.52
542285,Axita Cotton Ltd,Active,B,1.00,INE02EZ01022,,AXITA,Equity,https://www.bseindia.com/stock-share-price/axita-cotton-ltd/axita/542285/,Axita Cotton Limited,293.51
542323,KPI Green Energy Ltd,Active,A,5.00,INE542W01025,,KPIGREEN,Equity,https://www.bseindia.com/stock-share-price/kpi-green-energy-ltd/kpigreen/542323/,KPI Green Energy Limited,8101.59
