isin,name,nse_symbol,bse_code,sector,industry,series,exchange
INE230B01021,Creative Eye Limited,CREATIVEYE,532392,,,EQ,BOTH
INE985W01018,Creative Newtech Limited,CNL,544631,,,EQ,BOTH
INE727C01024,CREDENT GLOBAL FINANCE LIMITED,,539598,,,,BSE
INE741K01010,CREDITACCESS GRAMEEN LIMITED,CREDITACC,541770,,,EQ,BOTH
INE220Q01020,Credo Brands Marketing Limited,MUFTI,544058,,,EQ,BOTH
INE754C01010,Crescentis Capital Limited,,511571,,,,BSE
INE716D01033,CRESSANDA RAILWAY SOLUTIONS LIMITED,,512379,,,,BSE
INE559D01011,Crest Ventures Limited,CREST,511413,,,EQ,BOTH
INE293N01016,Crestchem Ltd.,,526269,,,,BSE
INE318P01016,Crimson Metal Engineering Company Ltd,,526977,,,,BSE
INE007A01025,Crisil Limited,CRISIL,500092,,,EQ,BOTH
INE0S4R01014,Crizac Limited,CRIZAC,544439,,,EQ,BOTH
INE587J01027,CROISSANCE LIMITED,,531909,,,,BSE
INE299U01018,Crompton Greaves Consumer Electricals Limited,CROMPTON,539876,,,EQ,BOTH
INE293E01031,CROPSTER AGRO LIMITED,,523105,,,,BSE
INE491V01019,Crown Lifters Limited,CROWN,,,,EQ,NSE
INE0TL001013,CRYOGENIC OGS LIMITED,,544440,,,,BSE
INE994R01028,CRYSTAL BUSINESS SYSTEM LIMITED,,540821,,,,BSE
INE679A01013,CSB Bank Limited,CSBBANK,542867,,,EQ,BOTH
INE718F01018,CSL Finance Limited,CSLFINANCE,530067,,,EQ,BOTH
INE144D01012,Cubex Tubings Limited,CUBEXTUB,526027,,,EQ,BOTH
INE717D01023,Cubical Financial Services Ltd.,,511710,,,,BSE
INE298A01020,Cummins India Limited,CUMMINSIND,500480,,,EQ,BOTH
INE108G01010,CUPID BREWERIES AND DISTILLERIES LIMITED,,512361,,,,BSE
INE509F01029,Cupid Limited,CUPID,530843,,,EQ,BOTH
INE117B01020,Cura Technologies Limited,CURAA,532332,,,EQ,BOTH
INE0H8H01019,CWD Limited,,543378,,,,BSE
INE183D01010,Cybele  Industries Limited,,531472,,,,BSE
INE278G01037,Cyber Media (India) Ltd.,,532640,,,,BSE
INE214A01019,Cybertech Systems And Software Limited,CYBERTECH,532173,,,EQ,BOTH
INE055S01018,Cyient DLM Limited,CYIENTDLM,543933,,,EQ,BOTH
INE136B01020,Cyient Limited,CYIENT,532175,,,EQ,BOTH
INE589D01018,D & H India Limited,,517514,,,,BSE
INE864X01013,D P Wires Limited,DPWIRES,543962,,,EQ,BOTH
INE250K01012,D-Link (India) Limited,DLINKINDIA,533146,,,EQ,BOTH
INE266Y01019,D. P. Abhushan Limited,DPABHUSHAN,544161,,,EQ,BOTH
INE950I01011,D.B.Corp Limited,DBCORP,533151,,,EQ,BOTH
INE016A01026,Dabur India Limited,DABUR,500096,,,EQ,BOTH
INE1F9M01018,Dachepalli Publishers Limited,,544667,,,,BSE
INE928C01010,Dai-Ichi Karkaria Limited,DAICHI,526821,,,EQ,BOTH
INE789B01018,Daikaffil Chemicals India Ltd.,,530825,,,,BSE
INE422D01012,Dalal Street Investments Ltd.,,501148,,,,BSE
INE00R701025,Dalmia Bharat Limited,DALBHARAT,542216,,,EQ,BOTH
INE495A01022,Dalmia Bharat Sugar and Industries Limited,DALMIASUG,500097,,,EQ,BOTH
INE642P01019,DALMIA INDUSTRIAL DEVELOPMENT LIMITED,,539900,,,,BSE
INE284H01025,Dam Capital Advisors Limited,DAMCAPITAL,544316,,,EQ,BOTH
INE497D01022,Damodar Industries Limited,DAMODARIND,521220,,,EQ,BOTH
INE688Y01022,Dangee Dums Limited,DANGEE,,,,EQ,NSE
INE310B01013,Danlaw Technologies India Ltd.,,532329,,,,BSE
INE575D01041,DANUBE INDUSTRIES LIMITED,,540361,,,,BSE
INE975Z01012,DAPS ADVERTISING LIMITED,,543651,,,,BSE
INE830S01014,DARJEELING INDUSTRIIES LIMITED,,539770,,,,BSE
INE671T01028,Darshan Orna Limited,,539884,,,,BSE
INE0IX101010,Data Patterns (India) Limited,DATAPATTNS,543428,,,EQ,BOTH
INE365B01017,Datamatics Global Services Limited,DATAMATICS,532528,,,EQ,BOTH
INE673U01014,DATIWARE MARITIME INFRA LIMITED,,519413,,,,BSE
INE108C01019,Daulat Securities Ltd.,,530171,,,,BSE
INE179G01029,Davangere Sugar Company Limited,DAVANGERE,543267,,,EQ,BOTH
INE0Q2L01013,Davin Sons Retail Limited,,544331,,,,BSE
INE921B01025,DB (International) Stock Brokers Limited,DBSTOCKBRO,530393,,,EQ,BOTH
INE0A1101019,Dc Infotech and Communication Limited,,543636,,,,BSE
INE503A01015,DCB Bank Limited,DCBBANK,532772,,,EQ,BOTH
INE891B01012,DCM Financial Services Ltd.,,511611,,,,BSE
INE498A01018,DCM Ltd.,,502820,,,,BSE
INE08KP01019,DCM NOUVELLE LIMITED,,542729,,,,BSE
INE0OFM01015,DCM SHRIRAM FINE CHEMICALS LIMITED,,544703,,,,BSE
INE843D01027,DCM Shriram Industries Limited,DCMSRIND,523369,,,EQ,BOTH
INE0OU201013,DCM SHRIRAM INTERNATIONAL LIMITED,,544702,,,,BSE
INE499A01024,DCM Shriram Limited,DCMSHRIRAM,523367,,,EQ,BOTH
INE500A01029,DCW Limited,DCW,500117,,,EQ,BOTH
INE0KL801015,DCX Systems Limited,DCXINDIA,543650,,,EQ,BOTH
INE0HR601026,Ddev Plastiks Industries Limited,DDEVPLSTIK,543547,,,EQ,BOTH
INE244A01016,De Nora India Limited,DENORA,590031,,,EQ,BOTH
INE583C01021,Deccan Cements Limited,DECCANCE,502137,,,EQ,BOTH
INE945F01025,Deccan Gold Mines Limited,DECNGOLD,512068,,,EQ,BOTH
INE452W01019,Deccan Health Care Limited,,542248,,,,BSE
INE132E01015,Deccan Polypacks Ltd,,531989,,,,BSE
INE848N01017,Decillion Finance Ltd.,,539190,,,,BSE
INE643N01012,DECIPHER LABS LIMITED,,524752,,,,BSE
INE907E01010,Deco-Mica Ltd.,,531227,,,,BSE
INE183R01010,Decorous Investment and Trading Co. Ltd.,,539405,,,,BSE
INE841L01016,DEE DEVELOPMENT ENGINEERS LIMITED,,544198,,,,BSE
INE005G01026,Deep Health AI India Limited,,539559,,,,BSE
INE0FHS01024,Deep Industries Limited,DEEPINDS,543288,,,EQ,BOTH
INE00IY01012,Deep Polymers Limited,,541778,,,,BSE
INE0OPA01027,Deepak Builders and Engineers India Limited,,544276,,,,BSE
INE0RDM01013,DEEPAK CHEMTEX LIMITED,,544036,,,,BSE
INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,500645,,,EQ,BOTH
INE288B01029,Deepak Nitrite Limited,DEEPAKNTR,506401,,,EQ,BOTH
INE272C01013,Deepak Spinners Ltd.,,514030,,,,BSE
INE0ZE201010,Defrail Technologies Limited,,544677,,,,BSE
INE148O01028,Delhivery Limited,DELHIVERY,543529,,,EQ,BOTH
INE726L01027,DELPHI WORLD MONEY LIMITED,DELPHIFX,533452,,,EQ,BOTH
INE124G01033,Delta Corp Limited,DELTACORP,532848,,,EQ,BOTH
INE681Q01015,Delta Industrial Resources Limited,,539596,,,,BSE
INE393A01011,Delta Manufacturing Limited,DELTAMAGNT,504286,,,EQ,BOTH
INE872E01016,Delton Cables Ltd.,,504240,,,,BSE
INE947J01015,Den Networks Limited,DEN,533137,,,EQ,BOTH
INE051G01012,Denis Chem Lab Limited,,537536,,,,BSE
INE0R4L01018,Denta Water and Infra Solutions Limited,DENTA,544345,,,EQ,BOTH
INE0TGG01014,Desco Infratech Limited,,544387,,,,BSE
INE971E01016,Desh Rakshak Aushdhalaya Ltd.,,531521,,,,BSE
INE358F01013,Desi Farms India Limited,,507984,,,,BSE
INE0VOV01021,Dev Accelerator Limited,DEVX,544513,,,EQ,BOTH
INE060X01034,Dev Information Technology Limited,DEVIT,543462,,,EQ,BOTH
INE0NIJ01025,Dev Labtech Venture Limited,,543848,,,,BSE
INE455C01014,Devine Impex Limited,,531585,,,,BSE
INE07LH01016,Devinsu Trading Ltd.,,512445,,,,BSE
INE872J01023,Devyani International Limited,DEVYANI,543330,,,EQ,BOTH
INE260R01016,Dhabriya Polywood Limited,,538715,,,,BSE
INE0I3401014,Dhampur Bio Organics Limited,,543593,,,,BSE
INE041A01016,Dhampur Sugar Mills Limited,DHAMPURSUG,500119,,,EQ,BOTH
INE956B01013,Dhampure Speciality Sugars Ltd.,,531923,,,,BSE
INE220C01012,Dhanalaxmi Roto Spinners Ltd.,,521216,,,,BSE
INE413F01016,Dhanashree Electronics Limited,,542679,,,,BSE
INE680A01011,Dhanlaxmi Bank Limited,DHANBANK,532180,,,EQ,BOTH
INE680A20011,Dhanlaxmi Bank Limited,,750942,,,,BSE
INE977F01010,Dhanlaxmi Cotex Ltd.,,512485,,,,BSE
INE953D01016,Dhanlaxmi Fabrics Ltd.,,521151,,,,BSE
INE195E01020,DHANSAFAL FINSERVE LIMITED,,512048,,,,BSE
INE435G01025,Dhanuka Agritech Limited,DHANUKA,507717,,,EQ,BOTH
INE239F01015,Dhanvantri Jeevan Rekha Ltd.,,531043,,,,BSE
INE278R01034,DHARAN INFRA-EPC LIMITED,,541161,,,,BSE
INE899D01011,Dharani Finance Ltd.,,511451,,,,BSE
INE00OQ01016,Dharmaj Crop Guard Limited,DHARMAJ,543687,,,EQ,BOTH
INE0M9Q01011,DHARNI CAPITAL SERVICES LIMITED,,543753,,,,BSE
INE715T01031,Dhatre Udyog Limited,,540080,,,,BSE
INE758D01027,Dhenu Buildcon Infra Limited,,501945,,,,BSE
INE0SPJ01011,Dhillon Freight Carrier Limited,,544556,,,,BSE
INE313G01016,Dhoot Industrial Finance Ltd.,,526971,,,,BSE
INE590D01016,DHP India Ltd.,,531306,,,,BSE
INE506Z01015,Dhruv Consultancy Services Limited,,541302,,,,BSE
INE972E01014,Dhruva Capital Services Ltd.,,531237,,,,BSE
INE320L01011,Dhunseri Investments Limited,DHUNINV,533336,,,EQ,BOTH
INE341R01014,Dhunseri Tea & Industries Limited,DTIL,538902,,,EQ,BOTH
INE477B01010,Dhunseri Ventures Limited,DVL,523736,,,EQ,BOTH
INE0K5F01014,DHYAANI TRADEVENTTURES LIMITED,,543516,,,,BSE
INE591D01014,Diamines & Chemicals Limited,DIAMINESQ,500120,,,EQ,BOTH
INE989C01038,Diamond Power Infrastructure Limited,DIACABS,522163,,,EQ,BOTH
INE012E01035,Diana Tea Co.Ltd.,,530959,,,,BSE
INE303A01010,DIC India Limited,DICIND,500089,,,EQ,BOTH
INE184O01015,Diffusion Engineers Limited,DIFFNKG,544264,,,EQ,BOTH
INE158R01012,Diggi Multitrade Limited,,540811,,,,BSE
INE03JI01017,Digicontent Limited,DGCONTENT,542685,,,EQ,BOTH
INE0PSC01024,Digidrive Distributors Limited,DIGIDRIVE,544079,,,EQ,BOTH
INE1OOT01028,DIGILOGIC SYSTEMS LIMITED,,544684,,,,BSE
INE927C01020,DIGISPICE TECHNOLOGIES LIMITED,,517214,,,,BSE
INE0U4701011,Digitide Solutions Limited,DIGITIDE,544413,,,EQ,BOTH
INE731U01028,Digjam Limited,DIGJAMLMTD,539979,,,EQ,BOTH
INE942P01013,Diksat Transworld Limited,,540151,,,,BSE
INE01GR01018,Diksha Greens Limited,,542155,,,,BSE
INE650C01036,Diligent Industries Limited,,531153,,,,BSE
INE016M01021,Diligent Media Corporation Limited,DNAMEDIA,540789,,,EQ,BOTH
INE917M01012,Dilip Buildcon Limited,DBL,540047,,,EQ,BOTH
INE0S6R01027,DINDIGUL FARM PRODUCT LIMITED,,544201,,,,BSE
INE0MC401013,DIPNA PHARMACHEM LIMITED,,543594,,,,BSE
INE131C01011,Disa India Limited,DISAQ,500068,,,EQ,BOTH
INE836F01026,Dish TV India Limited,,532839,,,,BSE
INE193D01019,DISHA RESOURCES LIMITED,,531553,,,,BSE
INE385W01011,Dishman Carbogen Amcis Limited,DCAL,540701,,,EQ,BOTH
INE753U01022,Divgi Torqtransfer Systems Limited,DIVGIITTS,543812,,,EQ,BOTH
INE361B01024,Divi's Laboratories Limited,DIVISLAB,532488,,,EQ,BOTH
INE410G01010,DIVYASHAKTI LIMITED,,526315,,,,BSE
INE935N01020,Dixon Technologies (India) Limited,DIXON,540699,,,EQ,BOTH
INE0B1K01014,DJ Mediaprint & Logistics Limited,DJML,543193,,,EQ,BOTH
INE234E01027,DJS Stock & Shares Ltd.,,511636,,,,BSE
INE271C01023,DLF Limited,DLF,532868,,,EQ,BOTH
INE505A01010,DMCC SPECIALITY CHEMICALS LIMITED,DMCC,506405,,,EQ,BOTH
INE07L501010,DMR ENGINEERING LIMITED,,543410,,,,BSE
INE021O01019,Dodla Dairy Limited,DODLA,543306,,,EQ,BOTH
INE966A01022,Dolat Algotech Limited,DOLATALGO,505526,,,EQ,BOTH
INE666Y01010,Dolfin Rubbers Limited,,542013,,,,BSE
INE325C01035,Dollar Industries Limited,DOLLAR,541403,,,EQ,BOTH
INE0QXT01018,Dolphin Kitchen Utencils and Appliances Limited,,544170,,,,BSE
INE920A01037,Dolphin Offshore Enterprises (India) Limited,DOLPHIN,522261,,,EQ,BOTH
INE321T01012,DOMS Industries Limited,DOMS,544045,,,EQ,BOTH
INE668D01028,Donear Industries Limited,DONEAR,512519,,,EQ,BOTH
INE934C01018,Dr Agarwals Eye Hospital Limited,DRAGARWQ,526783,,,EQ,BOTH
INE871Z01013,DR LALCHANDANI LABS LIMITED,,541299,,,,BSE
INE943P01029,Dr. Agarwal's Health Care Limited,AGARWALEYE,544350,,,EQ,BOTH
INE600L01024,Dr. Lal Path Labs Ltd.,LALPATHLAB,539524,,,EQ,BOTH
INE089A01031,Dr. Reddy's Laboratories Limited,DRREDDY,500124,,,EQ,BOTH
INE746V01016,DRA CONSULTANTS LIMITED,,540144,,,,BSE
INE03RS01027,DRC Systems India Limited,DRCSYSTEMS,543268,,,EQ,BOTH
INE0JS101016,Dreamfolks Services Limited,DREAMFOLKS,543591,,,EQ,BOTH
INE506A01018,Dredging Corporation of India Limited,DREDGECORP,523618,,,EQ,BOTH
INE0MQD01015,Droneacharya Aerial Innovations Limited,,543713,,,,BSE
INE055C01020,DSJ Keep Learning Limited,KEEPLEARN,526677,,,EQ,BOTH
INE0SUM01015,DSM Fresh Foods Limited,,544568,,,,BSE
INE741L01018,Ducon Infratechnologies Limited,,534674,,,,BSE
INE397G01019,Duke Offshore Ltd.,,531471,,,,BSE
INE340F01011,Duncan Engineering Limited,,504908,,,,BSE
INE138B01018,Duropack Ltd,,526355,,,,BSE
INE932D01010,DUROPLY INDUSTRIES LIMITED,,516003,,,,BSE
INE940C01015,Dutron  Polymers Ltd.,,517437,,,,BSE
INE366A01041,Dwarikesh Sugar Industries Limited,DWARKESH,532610,,,EQ,BOTH
INE417B01040,Dynacons Systems & Solutions Limited,DSSL,532365,,,EQ,BOTH
INE221B01012,Dynamatic Technologies Limited,DYNAMATECH,505242,,,EQ,BOTH
INE874E01012,dynamic Archistructures Limited,,539681,,,,BSE
INE600Y01019,Dynamic Cables Limited,DYCL,540795,,,EQ,BOTH
INE457C01010,Dynamic Industries Ltd.,,524818,,,,BSE
INE118C01018,Dynamic Protfolio Management & Serv,,530779,,,,BSE
INE083E01010,Dynavision Limited,,517238,,,,BSE
INE256H01015,Dynemic Products Limited,DYNPRO,532707,,,EQ,BOTH
INE094R01019,E and E ENTERPRISES LIMITED,,501386,,,,BSE
INE311H01018,E-Land Apparel Limited,,532820,,,,BSE
INE255Z01027,E2E Networks Limited,E2E,544783,,,EQ,BOTH
INE1A8F01035,EARKART LIMITED,,544549,,,,BSE
INE0O4V01010,Earthstahl & Alloys Limited,,543765,,,,BSE
INE706N01017,East Buildtech Limited,,507917,,,,BSE
INE315F01013,East Coast Steel Ltd,,520081,,,,BSE
INE191C01023,East India Drums and Barrels Manufacturing Limited,,523874,,,,BSE
INE595R01023,EAST WEST FREIGHT CARRIERS LTD,,540006,,,,BSE
INE962C01035,Eastern Silk Industries Limited,,590022,,,,BSE
INE500D01015,Eastern Treads Ltd.,,531346,,,,BSE
INE771C01014,Easun Capital Markets Limited,,542906,,,,BSE
INE407F01018,EASY FINCORP LIMITED,,511074,,,,BSE
INE07O001026,Easy Trip Planners Limited,EASEMYTRIP,543272,,,EQ,BOTH
INE738I01010,eClerx Services Limited,ECLERX,532927,,,EQ,BOTH
INE638N01012,ECO HOTELS AND RESORTS LIMITED,,514402,,,,BSE
INE316A01038,Eco Recycling Limited,,530643,,,,BSE
INE866A01016,Ecoboard Industries Ltd,,523732,,,,BSE
INE937K01014,Econo Trade (India) Limited,,538708,,,,BSE
INE423D01010,Ecoplast Ltd.,,526703,,,,BSE
INE06HJ01020,ECOS (India) Mobility & Hospitality Limited,,544239,,,,BSE
INE925Q01024,ECS Biztech Limited,,540063,,,,BSE
INE532F01054,Edelweiss Financial Services Limited,EDELWEISS,532922,,,EQ,BOTH
INE125G01014,Edvenswa Enterprises Limited,,517170,,,,BSE
INE886D01026,EFC (I) Limited,EFCIL,512008,,,EQ,BOTH
INE355H01015,EFORU ENTERTAINMENT LIMITED,,531190,,,,BSE
INE066A01021,Eicher Motors Limited,EICHERMOT,505200,,,EQ,BOTH
INE126A01031,EID Parry India Limited,EIDPARRY,500125,,,EQ,BOTH
INE0KSN01014,Eighty Jewellers Limited,,543518,,,,BSE
INE276C01014,EIH Associated Hotels Limited,EIHAHOTELS,523127,,,EQ,BOTH
INE230A01023,EIH Limited,EIHOTEL,500840,,,EQ,BOTH
INE666Q01016,EIKO LIFESCIENCES LIMITED,,540204,,,,BSE
INE158B01016,Eimco Elecon (India) Limited,EIMCOELECO,523708,,,EQ,BOTH
INE906L01025,Ekam Leasing & Finance Co. Ltd.,,530581,,,,BSE
INE005E01013,Ekansh Concepts Limited,,531364,,,,BSE
INE0KCM01010,Ekennis Software Service Limited,,543475,,,,BSE
INE0CPR01018,EKI Energy Services Limited,,543284,,,,BSE
INE927X01018,EL CID Investments Limited,ELCIDIN,503681,,,EQ,BOTH
INE158F01017,El Forge Ltd.,,531144,,,,BSE
INE594D01018,Elango Industries Ltd,,513452,,,,BSE
INE280B01018,Elantas Beck India Limited,ELANTAS,500123,,,EQ,BOTH
INE668G01021,Eldeco Housing And Industries Limited,ELDEHSG,523329,,,EQ,BOTH
INE205B01031,Elecon Engineering Company Limited,ELECON,505700,,,EQ,BOTH
INE02YR01019,Electronics Mart India Limited,EMIL,543626,,,EQ,BOTH
INE086A01029,Electrosteel Castings Limited,ELECTCAST,500128,,,EQ,BOTH
INE822G01016,Electrotherm (India) Limited,ELECTHERM,526608,,,EQ,BOTH
INE152E01013,Elegant Floriculture & Agrotech (In,,526473,,,,BSE
INE095B01010,Elegant Marbles & Grani Industries,,526705,,,,BSE
INE1FEW01013,Elfin Agro India Limited,,544724,,,,BSE
INE285A01027,Elgi Equipments Limited,ELGIEQUIP,522074,,,EQ,BOTH
INE819L01012,Elgi Rubber Company Limited,ELGIRUBCO,,,,EQ,NSE
INE050401020,Elin Electronics Limited,ELIN,543725,,,EQ,BOTH
INE669R01026,Elitecon International Limited,ELITECON,539533,,,EQ,BOTH
INE785D01012,Elixir Capital Limited,,531278,,,,BSE
INE236E01022,Ellenbarrie Industrial Gases Limited,ELLEN,544421,,,EQ,BOTH
INE033C01019,Elnet Technologies Ltd.,,517477,,,,BSE
INE579B01039,Elpro International Limited,ELPROINTL,504000,,,EQ,BOTH
INE279D01016,Ema India Ltd.,,522027,,,,BSE
INE548C01032,Emami Limited,EMAMILTD,531162,,,EQ,BOTH
INE830C01026,Emami Paper Mills Limited,EMAMIPAP,533208,,,EQ,BOTH
INE778K01012,EMAMI REALTY LIMITED,,533218,,,,BSE
INE069I01010,Embassy Developments Limited,EMBDL,532832,,,EQ,BOTH
INE168P01015,Emcure Pharmaceuticals Limited,EMCURE,544210,,,EQ,BOTH
INE030Q01015,Emerald Finance Limited,,538882,,,,BSE
INE044N01021,Emerald Leisures Limited,,507265,,,,BSE
INE668L01013,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,,506180,,,,BSE
INE1OSW01015,EMIAC TECHNOLOGIES LIMITED,,544747,,,,BSE
INE296H01011,Emkay Global Financial Services Limited,EMKAY,532737,,,EQ,BOTH
INE753K01015,Emmbi Industries Limited,EMMBI,533161,,,EQ,BOTH
INE634B01016,Emmessar Biotech & Nutrition Ltd.,,524768,,,,BSE
INE0SDC01012,EMMFORCE AUTOTECH LIMITED,,544166,,,,BSE
INE1C6T01020,Emmvee Photovoltaic Power Limited,EMMVEE,544608,,,EQ,BOTH
INE515H01014,Empire Industries Ltd.,,509525,,,,BSE
INE507F01023,Empower India Limited,,504351,,,,BSE
INE554H01021,EMROCK CORPORATION LIMITED,,531676,,,,BSE
INE0OV601013,EMS Limited,EMSLIMITED,543983,,,EQ,BOTH
INE01QM01018,eMudhra Limited,EMUDHRA,543533,,,EQ,BOTH
INE993I01029,Enbee Trade & Finance Ltd.,,512441,,,,BSE
INE900O01014,ENCODE PACKAGING INDIA LIMITED,,530733,,,,BSE
INE913H01037,Endurance Technologies Limited,ENDURANCE,540153,,,EQ,BOTH
INE306C01019,Energy Development Company Limited,ENERGYDEV,532219,,,EQ,BOTH
INE510A01028,Engineers India Limited,ENGINERSIN,532178,,,EQ,BOTH
INE130L01014,Enkei wheels (India) Limited,,533477,,,,BSE
INE010601016,Entero Healthcare Solutions Limited,ENTERO,544122,,,EQ,BOTH
INE439G01019,Enterprise International Limited,,526574,,,,BSE
INE265F01028,Entertainment Network (India) Limited,ENIL,532700,,,EQ,BOTH
INE601C01013,Envair Electrodyne Ltd.,,500246,,,,BSE
INE0LLY01014,Enviro Infra Engineers Limited,EIEL,544290,,,EQ,BOTH
INE0D2I01014,EP BIOCOMPOSITES LIMITED,,543595,,,,BSE
INE0G5901015,EPACK Durable Limited,EPACK,544095,,,EQ,BOTH
INE0MLS01022,EPack Prefab Technologies Limited,EPACKPEB,544540,,,EQ,BOTH
INE932F01015,EPIC Energy Ltd.,,530407,,,,BSE
INE071N01016,Epigral Limited,EPIGRAL,543332,,,EQ,BOTH
INE255A01020,EPL Limited,EPL,500135,,,EQ,BOTH
INE601F01016,Epsom Properties Limited,,531155,,,,BSE
INE807D01030,EPUJA SPIRITECH LIMITED,,532092,,,,BSE
INE060N01019,EQUILATERAL ENTERPRISES LIMITED,,531262,,,,BSE
INE217G01035,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,,590057,,,,BSE
INE063P01018,Equitas Small Finance Bank Limited,EQUITASBNK,543243,,,EQ,BOTH
INE432F01032,ERAAYA LIFESPACES LIMITED,,531035,,,,BSE
INE406M01024,Eris Lifesciences Limited,ERIS,540596,,,EQ,BOTH
INE308B01017,ERP Soft Systems Ltd.,,530909,,,,BSE
INE404L01039,Esaar (India) Ltd.,,531502,,,,BSE
INE284A01012,Esab India Limited,ESABINDIA,500133,,,EQ,BOTH
INE818W01011,ESAF Small Finance Bank Limited,ESAFSFB,544020,,,EQ,BOTH
INE953W01016,Escorp Asset Management Limited,,540455,,,,BSE
INE042A01014,Escorts Kubota Limited,ESCORTS,500495,,,EQ,BOTH
INE328F01016,Esha Media Research Limited,,531259,,,,BSE
INE176O01011,ESPIRE HOSPITALITY LIMITED,,532016,,,,BSE
INE0HMN01013,Esquire Money Guarantees Ltd,,512439,,,,BSE
INE122M01019,Essar Shipping Limited,ESSARSHPNG,533704,,,EQ,BOTH
INE1IBY01019,ESSEX MARINE LIMITED,,544475,,,,BSE
INE778B01029,Ester Industries Limited,ESTER,500136,,,EQ,BOTH
INE758T01015,ETERNAL LIMITED,ETERNAL,543320,,,EQ,BOTH
INE04TZ01018,Ethos Limited,ETHOSLTD,543532,,,EQ,BOTH
INE0PYT01018,Euphoria Infotech (India) Limited,,544094,,,,BSE
INE0KCE01017,Eureka Forbes Limited,EUREKAFORB,543482,,,EQ,BOTH
INE958A01011,Eureka Industries Ltd.,,521137,,,,BSE
INE546V01010,Euro India Fresh Foods Limited,EIFFL,,,,EQ,NSE
INE940E01011,Euro Leder Fashion Ltd.,,526468,,,,BSE
INE505V01016,Euro Panel Products Limited,EUROBOND,544461,,,EQ,BOTH
INE198501012,Euro Pratik Sales Limited,EUROPRATIK,544519,,,EQ,BOTH
INE022C01012,Eurotex Industries & Exports Ltd.,,521014,,,,BSE
INE06TD01010,EVANS ELECTRIC LIMITED,,542668,,,,BSE
INE128A01029,Eveready Industries India Limited,EVEREADY,531508,,,EQ,BOTH
INE295A01018,Everest Industries Limited,EVERESTIND,508906,,,EQ,BOTH
INE184H01027,Everest Kanto Cylinder Limited,EKC,532684,,,EQ,BOTH
INE334C01029,Everest Organics Ltd.,,524790,,,,BSE
INE339D01034,EVERLON FINANCIALS LIMITED,,514358,,,,BSE
INE313M01030,EVEXIA LIFECARE LIMITED,,524444,,,,BSE
INE0JVD01011,Evoq Remedies Limited,,543500,,,,BSE
INE1E4401010,EXATO TECHNOLOGIES LIMITED,,544626,,,,BSE
INE369A01029,Excel Industries Limited,EXCELINDUS,500650,,,EQ,BOTH
INE606N01019,Excelsoft Technologies Limited,EXCELSOFT,544617,,,EQ,BOTH
INE0O8901016,Exhicon Events Media Solutions Limited,,543895,,,,BSE
INE777F01014,Exicom Tele-Systems Limited,EXICOM,544133,,,EQ,BOTH
INE302A01020,Exide Industries Limited,EXIDEIND,500086,,,EQ,BOTH
INE201K01015,Expleo Solutions Limited,EXPLEOSOL,533121,,,EQ,BOTH
INE335G01019,Explicit Finance Limited,,530571,,,,BSE
INE561D01025,EXPO ENGINEERING AND PROJECTS LIMITED,,526614,,,,BSE
INE0GFE01026,Exxaro Tiles Limited,EXXARO,543327,,,EQ,BOTH
INE750G01019,EYANTRA VENTURES LIMITED,,512099,,,,BSE
INE108T01021,F MEC INTERNATIONAL FINANCIAL SERVICES LIMITED,,539552,,,,BSE
INE0Q9W01015,Faalcon Concepts Limited,,544164,,,,BSE
INE0DRT01018,FABINO ENTERPRISES LIMITED,,543444,,,,BSE
INE0HSD01011,FABTECH TECHNOLOGIES CLEANROOMS LIMITED,,544332,,,,BSE
INE0HF201011,Fabtech Technologies Limited,FABTECH,544558,,,EQ,BOTH
INE828G01013,FACOR Alloys Limited,,532656,,,,BSE
INE0DNW01011,Fairchem Organics Limited,FAIRCHEMOR,543252,,,EQ,BOTH
INE146N01016,FAMILY CARE HOSPITALS LIMITED,,516110,,,,BSE
INE963C01033,Faze Three Limited,FAZE3Q,530079,,,EQ,BOTH
INE512B01022,FCS Software Solutions Ltd.,,532666,,,,BSE
INE258B01022,FDC Limited,FDC,531599,,,EQ,BOTH
INE007N01010,Fedbank Financial Services Limited,FEDFINA,544027,,,EQ,BOTH
INE417D01020,Fedders Holding Limited,FEDDERSHOL,511628,,,EQ,BOTH
INE529A01010,Federal-Mogul Goetze (India) Limited.,FMGOETZE,505744,,,EQ,BOTH
INE225B01021,Fermenta Biotech Limited,FERMENTA,506414,,,EQ,BOTH
INE188A01015,Fertilizers and Chemicals Travancore Limited,FACT,590024,,,EQ,BOTH
INE258M01011,Fervent Synergies Limited,,533896,,,,BSE
INE512A01016,FGP Ltd,,500142,,,,BSE
INE296C01020,Fiberweb (India) Limited,FIBERWEB,507910,,,EQ,BOTH
INE737H01014,Fiem Industries Limited,FIEMIND,532768,,,EQ,BOTH
INE185E01021,Filatex Fashions Ltd,,532022,,,,BSE
INE816B01035,Filatex India Limited,FILATEX,526227,,,EQ,BOTH
INE600B01033,Filmcity Media Ltd.,,531486,,,,BSE
INE541R01019,Filtra Consultants and Engineers Limited,,539098,,,,BSE
INE686Y01026,Fine Organic Industries Limited,FINEORG,541557,,,EQ,BOTH
